gene	FPKM	bivalency_status
Lgals9	0.0182765	H3K27me3
Araf	43.1934	H3K4me3
Cfp	0.0841751	none
Timp1	0	none
Uxt	1.84504	H3K4me3
Cnnm3	1.804	H3K4me3
Lman2l	6.36905	H3K4me3
Mcm3ap	13.9703	H3K4me3
Pcnt	6.78336	Bivalent
Ftcd	0.0088821	none
Mxd1	11.1429	H3K4me3
Gmcl1	9.33909	H3K4me3
Snrnp27	44.3142	H3K4me3
Oas1c	0.196614	H3K4me3
Oas1h	0	H3K27me3
Ocrl	13.4061	H3K4me3
Calm1	425.683	H3K4me3
Agpat3	60.9714	H3K4me3
Slc26a3	0.0348521	none
Sema6b	22.4901	Bivalent
Uhrf1	0	Bivalent
Dpp9	12.9615	H3K4me3
Ramp2	0.547178	Bivalent
Lsr	0.0544692	Bivalent
Gramd1a	17.2856	H3K27me3
Hpn	0	none
Gabrg1	6.29338	H3K4me3
Ckb	522.357	H3K4me3
Sp1	2.97802	H3K4me3
Itgb7	0.127443	H3K27me3
Myg1	6.37809	H3K4me3
Rarg	2.1956	H3K4me3
Pfdn5	6.96672	H3K4me3
Efnb2	53.0131	none
Rrp15	4.77377	H3K4me3
Rnd2	12.1827	none
Srr	34.101	H3K4me3
Sync	0.178558	Bivalent
Fndc5	10.2801	Bivalent
Acp5	0.0266087	H3K27me3
Cnn1	0.286826	H3K27me3
Fbxo9	16.8853	H3K4me3
Vps50	8.88905	H3K4me3
Hars	27.2816	H3K4me3
Zmat2	17.0508	H3K4me3
Ube2c	0	Bivalent
Smg5	8.53968	H3K4me3
Cct3	9.64735	H3K4me3
Glmp	6.92234	H3K4me3
Mef2d	48.4239	none
Tmem79	0.0968063	H3K4me3
Snd1	74.124	none
Col18a1	0.290363	Bivalent
Slc19a1	2.65863	H3K4me3
Kpnb1	36.4286	H3K4me3
Npepps	24.8769	H3K4me3
Tbx21	0	Bivalent
Mrpl10	6.84127	H3K4me3
Cyp51	8.02199	H3K4me3
Tcf25	35.7244	H3K4me3
Tubb6	2.47246	Bivalent
Def8	5.75139	none
Meox1	0	H3K27me3
Sost	0	H3K27me3
Nkx2-1	0.644626	H3K27me3
Pax9	0	H3K27me3
Irx2	0	H3K27me3
Col1a1	0.0384614	H3K27me3
Itga3	2.10294	Bivalent
Sgca	0	none
Dlx3	0.220207	Bivalent
Foxm1	0.246237	H3K4me3
Itfg2	8.13108	H3K4me3
Nrip2	3.81315	none
Tulp3	1.85574	H3K4me3
Gtf2h4	5.06585	H3K4me3
Tubb5	101.351	none
Ell2	1.83914	H3K4me3
Jup	12.4107	H3K4me3
Fkbp10	0.0575237	Bivalent
Klhl10	0.273868	H3K4me3
Mnx1	0	H3K27me3
Nom1	4.45791	Bivalent
Ergic1	15.6111	H3K4me3
Tnk1	0	H3K27me3
Acap1	0	H3K27me3
Tcea3	0	H3K27me3
Csn3	0	none
Ifrd1	14.4601	none
Stk38l	1.9832	H3K4me3
Brpf1	4.78939	H3K4me3
Akr1b3	10.8132	H3K4me3
Hoxc13	0	H3K27me3
Hoxc11	0	H3K27me3
Hoxc8	0	H3K27me3
Hoxc6	0	Bivalent
Gstt1	0.0559028	Bivalent
Gstt3	0.0164171	Bivalent
Ddt	8.67782	Bivalent
Tat	0	H3K27me3
Marveld3	0.616188	Bivalent
Ddx18	9.20004	Bivalent
Ubl3	144.516	none
Gramd3	0.221457	none
Eef1e1	7.92907	H3K4me3
Akt1	28.7415	H3K27me3
Cldn15	0.0597636	none
Il16	0.180132	H3K27me3
Tcirg1	0.553491	H3K4me3
Naglu	1.01681	H3K4me3
Coasy	2.13107	H3K27me3
Smo	0.36015	H3K27me3
Tspan33	1.70252	Bivalent
Crnkl1	10.9874	Bivalent
Rin2	1.27278	Bivalent
Folh1	0.170266	Bivalent
Chordc1	4.21695	Bivalent
Rtcb	38.905	Bivalent
Pwp1	2.35351	Bivalent
Fbxo7	10.8182	Bivalent
Capns1	29.7442	none
Lrp3	11.5535	H3K4me3
Dsg4	0	none
Evx2	0	H3K27me3
Hoxd13	0	H3K27me3
Hoxd12	0	H3K27me3
Folr1	0.0308436	none
Clpb	7.41583	H3K4me3
Sept7	12.5757	H3K4me3
Zdhhc4	4.87318	H3K4me3
Rac1	122.738	H3K4me3
Nup214	4.00846	H3K4me3
Aif1l	0.06735	Bivalent
Cpa3	0	none
Ltbp1	0.045354	Bivalent
Ugp2	8.43154	H3K4me3
Kcnh6	0.247279	Bivalent
Trmt1	4.08159	none
Nacc1	51.9287	none
Nfix	3.97618	Bivalent
Slc1a5	0.125409	Bivalent
Uba1	14.7107	none
Vwf	0.0145369	H3K27me3
Siae	1.59162	H3K27me3
Vsig2	4.97938	none
Esam	0.471119	H3K27me3
Spa17	4.58018	H3K4me3
Fam50a	2.17661	H3K4me3
Emd	4.0783	H3K4me3
Taco1	2.78768	H3K4me3
Grik3	36.0605	H3K27me3
Gria3	25.9189	H3K27me3
Npas1	0.17295	H3K27me3
Sipa1l2	2.88581	Bivalent
Ap4e1	1.04563	Bivalent
Blvra	0.840359	H3K4me3
Pdzd4	48.7637	H3K4me3
Srpk3	0.11737	none
Idh3g	39.8898	H3K4me3
Pnck	19.2246	none
Ssr4	5.55187	H3K4me3
Bcap31	13.4387	H3K4me3
Fam98a	2.95722	H3K4me3
Ltbp2	0.039652	Bivalent
Kmt2a	20.9888	none
Ift46	3.83861	H3K4me3
Tmem25	1.35071	H3K4me3
Cd3g	0	H3K27me3
Trappc6a	0.766231	H3K4me3
Supt6	53.1218	H3K4me3
Spag5	0.0134435	Bivalent
Foxn1	0	H3K27me3
Unc119	1.02559	H3K4me3
Rab34	1.86507	none
Sdf2	5.00418	H3K4me3
Ccne1	4.07318	Bivalent
Hsf2bp	0.100915	H3K4me3
Bbc3	2.89149	none
Mybpc3	0.0325957	H3K27me3
Psmc3	19.4606	H3K4me3
Acp2	11.7572	H3K4me3
Rapsn	0.428336	none
Slc39a13	4.91544	H3K4me3
Celf2	154.697	none
Nr1h3	0.211671	H3K4me3
Ddb2	0.7215	H3K4me3
Spi1	0.0894375	H3K27me3
Sf3a1	21.369	H3K4me3
Stat6	0.342501	Bivalent
Clgn	0.722472	Bivalent
Napsa	0.0181595	H3K27me3
Vrk3	1.57462	H3K4me3
Smg9	3.62838	H3K4me3
Paxip1	7.793	H3K4me3
Rmnd5a	22.6066	H3K4me3
Mov10	1.18502	H3K4me3
Ppm1j	0.0307217	H3K27me3
Rhoc	0.241198	H3K27me3
Prr27	0	none
Tead3	0.0407346	H3K27me3
Ppard	1.37802	H3K4me3
Def6	0.406616	H3K4me3
Peg3	92.3071	none
Zim1	1.18912	H3K4me3
Metrn	0.661494	H3K27me3
Lmf1	4.3896	H3K4me3
Ciao3	2.54839	Bivalent
Angptl4	0.0721585	H3K27me3
Dbf4	0.36477	Bivalent
Daxx	20.1491	H3K4me3
Cd320	2.11667	H3K4me3
Ipo4	26.8546	H3K4me3
Tm9sf1	22.0436	H3K4me3
Rec8	0.573241	H3K27me3
Irf9	1.71307	H3K4me3
Gmpr2	1.64268	H3K4me3
Mdp1	14.5026	H3K4me3
Dhrs1	9.98197	H3K4me3
Ncan	26.1897	none
Tmem161a	2.73925	H3K4me3
Armc6	5.43412	H3K4me3
Borcs8	3.27786	H3K4me3
Slc25a42	4.46645	H3K4me3
Snx9	0.85201	H3K4me3
Ranbp3	10.1183	H3K4me3
Ndufa11	11.5932	H3K4me3
Bmp8b	0.030185	H3K27me3
Nr2f6	5.04041	none
Use1	6.76327	H3K4me3
Ocel1	2.3977	H3K4me3
Dyrk1b	4.45674	H3K4me3
Braf	39.5745	H3K4me3
Ndufb2	5.53052	H3K4me3
Hltf	3.70341	H3K4me3
Prpf6	10.6202	H3K4me3
Rgs19	8.99862	H3K4me3
Rgs20	33.6386	none
Abhd3	1.54772	H3K4me3
Snrpd1	6.75521	H3K4me3
Tchp	2.17362	Bivalent
Tiam1	61.5416	H3K4me3
Tsc2	21.3742	H3K4me3
Rpl3l	0.0580028	H3K27me3
Slc9a3r2	10.3141	H3K4me3
Puf60	44.8628	H3K4me3
Golga2	16.0753	H3K4me3
Uck1	7.04282	H3K4me3
Scin	0.00951374	Bivalent
Ikzf4	3.11207	H3K4me3
Mien1	12.4531	H3K4me3
Pon1	0	none
Axl	0.425111	Bivalent
Tgfb1	0.0802341	H3K27me3
Ccdc97	15.507	H3K4me3
Zfp40	5.56473	H3K4me3
Akap8l	28.0384	H3K4me3
Shh	0.713237	H3K27me3
Pdcd2l	4.05341	H3K4me3
Gtf2f1	36.9425	H3K4me3
Clpp	5.18637	H3K4me3
Alkbh7	5.43425	H3K4me3
Pspn	0	none
Dennd1c	0.0208843	none
Med6	12.7624	Bivalent
Prkd1	2.30901	H3K4me3
Lcp2	0.260086	none
Cse1l	3.04581	H3K4me3
Naa20	6.32555	none
Prkra	1.64932	H3K4me3
Fkbp7	1.01995	none
Plekha3	2.3935	none
Ykt6	4.60732	H3K4me3
Baz1b	24.5913	none
Pex6	8.36402	H3K4me3
Mrpl2	5.37847	H3K4me3
Mea1	23.3758	none
Gnmt	0.114152	H3K27me3
Grin2d	1.78123	none
Kdelr1	8.43689	H3K27me3
Tmem143	3.47316	H3K4me3
Pdxk-ps	0	H3K27me3
Ggct	14.7053	H3K4me3
Jag2	3.66593	H3K4me3
Btbd6	20.0769	H3K4me3
Nudt14	1.13623	H3K4me3
Epdr1	32.0973	Bivalent
Flii	6.43297	H3K4me3
Top3a	0.806436	H3K4me3
Atg4d	2.33383	H3K4me3
Qtrt1	2.2873	H3K4me3
Plin4	0.0785551	none
Hdgfl2	23.6711	none
Chaf1a	0.962001	none
Adprh	15.2307	H3K4me3
Tmem39a	1.27704	H3K27me3
Timmdc1	9.62021	H3K4me3
Pla1a	0	H3K27me3
Mcm2	2.74889	none
Tpra1	4.89163	H3K4me3
Nab1	6.00485	H3K4me3
Adgre5	0.133911	Bivalent
Il17ra	0.358971	Bivalent
Lamb1	7.79419	H3K27me3
Kcnn1	6.24556	Bivalent
Arrdc2	2.5522	Bivalent
Ppp1r17	0.0194034	H3K27me3
Cd36	0	none
Map2k7	32.5419	H3K4me3
Timm44	21.9842	H3K4me3
Ap2a2	14.8524	H3K4me3
Pnkp	1.46852	H3K4me3
Med25	12.8069	H3K4me3
Bcam	0.652243	Bivalent
Clptm1	39.5641	H3K4me3
Relb	1.49915	H3K4me3
Tomm40	15.7788	H3K4me3
Apoe	27.817	H3K27me3
Apoc2	0	none
Hbp1	4.14465	H3K4me3
Prkar2b	75.0794	none
Cdkn1b	6.02143	H3K27me3
Klf4	0.135755	Bivalent
Ap1m1	8.73862	H3K4me3
Rab8a	2.54937	H3K4me3
Hmgn2	25.5642	H3K4me3
Fam32a	11.71	Bivalent
Elf3	0	H3K4me3
Cyp2c29	0	none
Stard3nl	7.36483	H3K4me3
Stk11	6.39627	none
Efna2	2.42481	H3K4me3
Atp5d	47.237	none
Ppp5c	31.7698	H3K4me3
Cdk12	4.20827	H3K4me3
Lipe	2.48565	none
Pafah1b2	74.9937	H3K4me3
Tbc1d8	27.9365	H3K4me3
Cnot11	4.85946	H3K4me3
Slc2a3	39.5338	Bivalent
Foxj2	11.4751	H3K4me3
Sri	4.45415	none
Dgcr2	24.7073	none
Irf3	1.95967	H3K4me3
Bcl2l12	0.0921153	H3K4me3
Zfp959	1.39157	H3K4me3
Mpnd	23.2105	H3K27me3
Sh3gl1	4.12389	H3K4me3
Ebi3	0.0978705	H3K27me3
Yju2	2.30506	none
Ranbp2	22.4476	H3K4me3
Edar	0.00721169	Bivalent
Grk5	1.58709	H3K4me3
Dvl3	4.3482	H3K4me3
Abcf3	9.5805	H3K4me3
Eif2b5	4.48452	H3K4me3
Cyth2	34.1797	H3K4me3
Sult2b1	2.65748	none
Car11	13.7013	none
Dlgap1	25.4809	Bivalent
Plag1	1.316	Bivalent
Hck	0	Bivalent
Mrpl4	3.15778	H3K4me3
Keap1	22.409	none
Ap1m2	0.137592	H3K27me3
Glg1	51.9558	H3K4me3
Atp8b3	0.0172097	H3K27me3
Btbd2	23.5768	H3K4me3
Csnk1g2	18.5586	H3K4me3
Abhd17a	13.716	H3K4me3
Mob3a	0.746009	H3K4me3
Cacnb3	17.3353	H3K27me3
Ccdc65	1.191	Bivalent
Fkbp11	0.158028	Bivalent
Ddx23	36.7408	H3K4me3
Pld3	134.266	H3K4me3
Grik5	36.4989	none
Cd79a	0	none
Rabac1	13.2862	H3K4me3
Etv3	6.21067	Bivalent
Prkcsh	4.89787	H3K4me3
Elavl3	80.5358	none
Rab3b	16.8505	Bivalent
St8sia6	0.2395	Bivalent
Fcgrt	0.0700037	H3K27me3
Nosip	9.93488	H3K4me3
Pih1d1	7.37366	H3K4me3
Rps11	22.7132	none
Supt5	28.653	Bivalent
Dll3	0.0459003	H3K27me3
Paf1	20.3915	H3K4me3
Timm50	6.02809	H3K4me3
Med29	6.10812	H3K4me3
Bicd1	9.96158	H3K4me3
Ncstn	9.02344	H3K4me3
Pex19	8.9679	H3K4me3
Phyhip	183.822	none
Crhr2	0.375527	H3K27me3
Inmt	0	none
Cyp4f18	0	H3K27me3
Impdh1	14.4708	H3K27me3
Psg18	0	none
Dusp3	26.2053	H3K27me3
Prodh	0.678133	Bivalent
Ess2	6.13726	Bivalent
Slc25a1	8.36953	H3K4me3
Dgcr6	8.03697	Bivalent
Ddr1	6.41473	none
Ier3	1.3001	H3K27me3
Fosb	4.77613	H3K4me3
Klc4	4.81971	H3K4me3
Ercc1	0.695517	Bivalent
Cyp17a1	0.0137822	H3K27me3
As3mt	0.244044	Bivalent
Homer3	0.0293358	Bivalent
Crtc1	37.2964	H3K4me3
Rnf215	1.53239	H3K4me3
Sec14l2	7.01861	none
Aven	2.10805	H3K4me3
Cp	0.181902	none
Crot	0.805411	H3K4me3
Rps6ka1	1.19588	H3K4me3
Calb2	3.98754	H3K27me3
Snrnp200	13.6274	H3K4me3
Ciao1	27.0171	H3K4me3
Has1	0.661825	none
Taf6l	2.41928	H3K4me3
Insig2	13.9003	none
Kpna6	16.9886	H3K4me3
Man1a	32.2831	H3K27me3
Itpkc	2.02731	none
Coq8b	1.34952	H3K4me3
Brd8	26.5014	H3K4me3
Kif20a	0.185662	H3K4me3
Farsa	1.38386	H3K4me3
Gcdh	4.22062	H3K4me3
Mast2	12.0097	H3K4me3
Dnase2a	1.07534	H3K27me3
Rad23a	26.1647	H3K4me3
Calr	349.481	H3K4me3
Syce2	0.558608	Bivalent
Nfat5	21.6359	H3K4me3
Nob1	7.11332	Bivalent
Nqo1	0.386066	H3K4me3
Ppfia3	24.0756	H3K27me3
Gys1	1.01857	H3K4me3
Ruvbl2	7.60438	none
Lin7b	18.3401	none
Bax	5.18268	H3K4me3
Il7r	0.0281532	H3K27me3
Tfam	16.4886	Bivalent
Zfp81	11.907	H3K4me3
Efnb3	25.2534	none
Mmd	31.0919	Bivalent
Hlf	29.1135	H3K27me3
Fam162a	22.2012	H3K4me3
Rpl8	22.8299	none
Grm3	47.5176	H3K4me3
Ssbp2	8.2603	none
Fancl	0.649203	H3K4me3
Brinp2	27.3868	none
Gstm5	5.07981	H3K4me3
Gstm7	2.72483	H3K4me3
Gstm3	0	H3K27me3
Stat3	15.2585	H3K4me3
Stat5a	0.0426869	Bivalent
Cavin1	0.516891	Bivalent
Map3k11	1.93969	none
Akt2	6.38932	H3K4me3
Dnaja3	8.65385	H3K4me3
Hmox2	36.8356	H3K4me3
Cdip1	31.7898	H3K4me3
Map3k20	1.99427	Bivalent
Cwc15	3.99427	H3K4me3
Col5a3	0.00445576	H3K27me3
Dnmt1	21.6306	H3K27me3
Ppan	1.41887	H3K4me3
Angptl2	0.502536	none
Cacna1e	62.4127	Bivalent
Cacna1b	15.4124	H3K4me3
Trmt10a	1.67386	H3K4me3
Etv1	2.53628	none
Kifc2	18.4007	none
Psap	94.2192	H3K4me3
Ikbkg	3.08234	H3K4me3
Pax2	0	H3K27me3
Wars2	1.99603	Bivalent
Atn1	46.7572	none
Phb2	6.48541	H3K4me3
Ptpn6	1.21194	H3K4me3
Eno2	437.642	H3K4me3
Emg1	10.609	H3K4me3
Lpcat3	1.11854	H3K4me3
Atp6v1f	114.759	H3K4me3
Il12b	0	Bivalent
Clcn5	2.83607	H3K4me3
Clcn3	34.9741	H3K4me3
Hif3a	0.258954	H3K27me3
Gpx6	1.27965	none
Gpx5	0	none
Pde1c	18.0266	Bivalent
Utp20	3.46389	H3K4me3
Spic	0	none
9330159F19Rik	17.1435	none
Cul3	80.217	H3K4me3
Sst	86.4273	H3K27me3
Il11	0	H3K27me3
Large1	16.9592	none
Ddx56	4.87575	H3K4me3
Tmed4	25.8237	H3K4me3
Col26a1	0.103107	Bivalent
Bid	1.6253	Bivalent
Ralb	2.21743	H3K4me3
Ppp1cc	12.402	H3K4me3
Dnajb11	5.2971	H3K4me3
Tbccd1	3.13722	H3K4me3
Clec11a	0.122936	H3K27me3
Zfp324	2.32523	H3K4me3
Gab2	3.35916	H3K4me3
Coro1c	72.7577	H3K4me3
Tax1bp1	28.9889	H3K4me3
Psg17	0	H3K27me3
Psg19	0	none
Ctse	0	H3K27me3
Ndrg2	5.64945	Bivalent
Mettl17	0.953797	H3K4me3
Arhgef40	1.71579	H3K4me3
Pnpla6	3.43202	none
Mcoln1	16.467	H3K4me3
Arhgef18	10.3194	H3K27me3
Pkn2	8.00563	H3K4me3
Cd33	0.251292	H3K27me3
Etfb	4.29053	Bivalent
Nkg7	0	H3K27me3
Stxbp2	1.14205	Bivalent
Pcp2	0.14626	H3K27me3
Sgce	9.232	none
Chn2	68.4675	Bivalent
Wwox	2.31704	H3K4me3
Slbp	5.24793	H3K4me3
Tyr	0.0894407	none
Ghrhr	0	none
Aqp1	0.0304398	H3K27me3
Arid3b	2.60277	H3K4me3
Cnn2	0.0425629	H3K27me3
Polr2e	15.1786	H3K4me3
Abca13	0	H3K27me3
Myo9b	1.16345	H3K4me3
Hdac9	8.62114	none
Ly9	0.0154295	none
Cd244a	0	H3K27me3
Adgre1	0	none
Mtfp1	6.13926	H3K4me3
Rab23	8.43999	H3K4me3
Rab11a	74.126	H3K4me3
Eif2b2	15.9692	H3K4me3
Dlst	13.915	H3K4me3
Pgf	0.449699	Bivalent
Ulk2	21.949	H3K4me3
Ccl24	0	none
Dgkq	4.02623	H3K4me3
Tmed11	0	none
Grap	0.017002	Bivalent
Pou1f1	0	none
Chmp2b	23.717	H3K4me3
Plod3	0.724362	H3K4me3
Ap1s1	55.2438	H3K4me3
Mapk13	0	Bivalent
Srpk1	25.9655	H3K4me3
Pax3	0	H3K27me3
Lbr	1.78112	Bivalent
Crabp2	0.139905	H3K27me3
Nes	0.306798	H3K27me3
Bcan	2.60021	H3K27me3
Hapln2	0.747003	H3K27me3
Prcc	17.6219	H3K4me3
Rrnad1	4.56123	H3K4me3
Hdgf	62.1287	H3K4me3
Slc25a18	0.120167	none
Thop1	5.96437	H3K4me3
Apba3	1.55305	H3K4me3
Matk	16.4485	H3K27me3
Pias4	6.04151	H3K4me3
Map2k1	109.804	H3K4me3
Sgta	31.2723	H3K4me3
Nmrk2	0	none
Tmem242	10.1953	H3K4me3
Dtx2	0.92836	H3K4me3
Zp3	0	none
Hspb1	0.139299	H3K27me3
Rasa4	0.0195416	Bivalent
Syt5	148.978	none
Hnrnpa2b1	194.265	none
Fxyd4	0.258289	none
Ccdc130	10.7949	H3K4me3
Mri1	1.29034	H3K4me3
Prkacb	185.436	H3K4me3
Sgsh	0.29143	Bivalent
Chd5	8.71055	none
Cstb	3.76331	H3K4me3
Sh2b2	1.80248	none
Pex5	7.18832	H3K4me3
Jkamp	3.05658	H3K4me3
Cd44	0.383381	Bivalent
Slc1a2	19.0006	Bivalent
Eif2ak4	1.42123	H3K4me3
Wdr1	25.8742	H3K27me3
Slc2a9	0.161223	H3K27me3
Ccn4	0.012339	H3K27me3
Ndrg1	0.807287	Bivalent
4930550C14Rik	0	H3K27me3
Man2b1	2.94395	none
Klf5	13.3176	H3K27me3
Wdr83	3.75344	none
Prdx2	37.2887	none
Polr2a	16.3057	H3K4me3
Shbg	0	H3K27me3
Senp3	20.4719	H3K4me3
Corin	0.0158222	H3K27me3
Plekha8	1.2901	H3K4me3
G6pc2	0	H3K27me3
Spc25	0	Bivalent
Dnah2	1.33643	none
Ripk4	0.433519	Bivalent
Ufd1	6.84915	H3K4me3
Zfp287	5.9005	H3K4me3
Prlr	0.403631	Bivalent
Letm1	23.8517	H3K4me3
Ubqln1	55.7095	H3K4me3
Fgfr4	0	Bivalent
Cadm3	85.0816	Bivalent
Fcer1a	0	none
Txn2	24.7829	H3K4me3
Casp14	0	H3K27me3
Slc1a6	0.443525	H3K4me3
Slc1a3	2.82626	Bivalent
Crbn	23.8343	Bivalent
Il5ra	0.00714118	H3K27me3
Msh6	8.88168	H3K4me3
Fbxo11	63.3046	none
Mlxipl	0.0301894	H3K27me3
Tbl2	2.86482	H3K4me3
Bud23	7.34766	H3K4me3
Nid1	0	H3K27me3
Mcm5	0.657796	H3K4me3
Hmox1	0.425317	H3K4me3
Mprip	36.0443	H3K4me3
Cic	39.2714	H3K4me3
Pafah1b3	0.85364	H3K4me3
Il27ra	0.0796907	Bivalent
Prkaca	26.6993	H3K4me3
Asf1b	0.700926	Bivalent
Myl10	0	H3K27me3
Ddx39	0.631576	H3K4me3
Dnajb1	11.2055	H3K4me3
Msh4	0.0199713	none
